,YEAR,MONTH,TMAX_AVG,TMIN_AVG,PRCP_AVG,SNOW_AVG,SEASON
1951-04-01,1951,4,62.42,46.34413793103448,2.496551724137931,0.0,Spring
1951-05-01,1951,5,72.65677419354839,53.87870967741935,4.367741935483871,0.0,Spring
1951-06-01,1951,6,77.636,62.666000000000004,2.256666666666667,0.0,Spring
1951-07-01,1951,7,85.14064516129032,69.52709677419355,3.193548387096774,0.0,Summer
1951-08-01,1951,8,82.50451612903225,67.32064516129032,2.1032258064516127,0.0,Summer
1951-09-01,1951,9,76.7,60.908,0.8300000000000001,0.0,Summer
1951-10-01,1951,10,66.0374193548387,52.11354838709677,3.658064516129032,0.0,Fall
1951-11-01,1951,11,51.104,35.99,6.67,0.0,Fall
1951-12-01,1951,12,46.63225806451613,33.126451612903224,4.0612903225806445,3.225806451612903,Fall
1952-01-01,1952,1,44.68709677419355,29.932903225806452,4.396774193548387,2.064516129032258,Winter
1952-02-01,1952,2,42.71310344827586,30.224827586206896,2.4275862068965517,1.8620689655172413,Winter
1952-03-01,1952,3,46.858709677419355,34.18322580645161,4.380645161290323,4.870967741935484,Spring
1952-04-01,1952,4,62.342,47.354,5.36,0.0,Spring
1952-05-01,1952,5,70.26451612903226,52.86258064516129,4.832258064516129,0.0,Spring
1952-06-01,1952,6,83.654,66.146,3.5766666666666667,0.0,Spring
1952-07-01,1952,7,89.41419354838709,72.08193548387098,2.893548387096774,0.0,Summer
1952-08-01,1952,8,82.87032258064517,67.91870967741936,5.490322580645161,0.0,Summer
1952-09-01,1952,9,79.106,60.902,1.9733333333333334,0.0,Summer
1952-10-01,1952,10,64.28967741935483,46.405806451612904,0.7419354838709677,0.0,Fall
1952-11-01,1952,11,53.870000000000005,41.984,2.4066666666666667,0.9333333333333333,Fall
1952-12-01,1952,12,43.28774193548387,33.16129032258065,3.441935483870968,4.32258064516129,Fall
1953-01-01,1953,1,42.829032258064515,31.686451612903227,4.370967741935484,2.4516129032258065,Winter
1953-02-01,1953,2,46.39357142857143,31.897142857142857,2.3285714285714283,0.17857142857142858,Winter
1953-03-01,1953,3,49.61677419354839,37.30129032258064,7.3193548387096765,0.8064516129032258,Spring
1953-04-01,1953,4,59.66,45.002,5.5200000000000005,0.0,Spring
1953-05-01,1953,5,71.24000000000001,55.94,3.8967741935483873,0.0,Spring
1953-06-01,1953,6,83.588,64.424,0.9766666666666668,0.0,Spring
1953-07-01,1953,7,87.03935483870967,70.03806451612903,3.264516129032258,0.0,Summer
1953-08-01,1953,8,85.77935483870968,68.77225806451614,2.3193548387096774,0.0,Summer
1953-09-01,1953,9,79.394,63.775999999999996,1.52,0.0,Summer
1953-10-01,1953,10,68.80709677419355,52.81032258064516,4.209677419354838,0.0,Fall
1953-11-01,1953,11,58.22,44.57,1.8133333333333332,2.533333333333333,Fall
1953-12-01,1953,12,48.0258064516129,35.46645161290323,3.6387096774193552,0.0,Fall
1954-01-01,1954,1,38.480000000000004,24.451612903225808,1.5064516129032257,11.903225806451612,Winter
1954-02-01,1954,2,47.87214285714286,32.61714285714286,1.7857142857142858,0.0,Winter
1954-03-01,1954,3,48.972258064516126,34.839354838709674,3.093548387096774,0.0,Spring
1954-04-01,1954,4,62.263999999999996,44.822,2.46,0.0,Spring
1954-05-01,1954,5,66.84451612903226,53.18774193548387,2.696774193548387,0.0,Spring
1954-06-01,1954,6,79.78999999999999,63.41,0.8533333333333333,0.0,Spring
1954-07-01,1954,7,85.16387096774194,68.76645161290323,0.6451612903225806,0.0,Summer
1954-08-01,1954,8,81.06451612903226,66.15354838709678,6.767741935483871,0.0,Summer
1954-09-01,1954,9,75.536,63.032000000000004,4.863333333333333,0.0,Summer
1954-10-01,1954,10,69.9625806451613,55.68451612903226,1.9903225806451612,0.0,Fall
1954-11-01,1954,11,53.132000000000005,41.642,5.0633333333333335,0.0,Fall
1954-12-01,1954,12,42.968387096774194,31.78516129032258,3.370967741935484,0.0,Fall
1955-01-01,1955,1,37.45225806451613,26.00193548387097,0.6225806451612903,1.3870967741935485,Winter
1955-02-01,1955,2,43.03142857142857,27.782857142857143,2.5964285714285715,5.642857142857143,Winter
1955-03-01,1955,3,49.773548387096774,34.28193548387097,4.038709677419355,2.064516129032258,Spring
1955-04-01,1955,4,61.484,44.93,1.7600000000000002,0.0,Spring
1955-05-01,1955,5,74.83419354838709,55.614838709677414,1.2483870967741937,0.0,Spring
1955-06-01,1955,6,79.064,62.294,1.44,0.0,Spring
1955-07-01,1955,7,89.91935483870968,72.70322580645161,0.2903225806451613,0.0,Summer
1955-08-01,1955,8,86.65032258064517,71.92516129032258,12.383870967741936,0.0,Summer
1955-09-01,1955,9,76.394,62.635999999999996,1.8366666666666667,0.0,Summer
1955-10-01,1955,10,68.58645161290323,54.58129032258064,6.148387096774194,0.0,Fall
1955-11-01,1955,11,51.536,38.936,3.8299999999999996,0.0,Fall
1955-12-01,1955,12,36.23290322580645,24.045161290322582,0.13870967741935486,1.8709677419354838,Fall
1956-01-01,1956,1,37.96322580645161,27.598709677419354,1.6548387096774193,0.41935483870967744,Winter
1956-02-01,1956,2,43.44551724137931,31.857241379310345,4.196551724137931,1.5862068965517242,Winter
1956-03-01,1956,3,45.63354838709677,32.946451612903225,4.338709677419355,15.741935483870968,Spring
1956-04-01,1956,4,55.891999999999996,41.228,3.2299999999999995,2.533333333333333,Spring
1956-05-01,1956,5,67.94193548387096,50.84193548387097,1.564516129032258,0.0,Spring
1956-06-01,1956,6,80.33,63.806,2.9699999999999998,0.0,Spring
1956-07-01,1956,7,81.04129032258064,66.98387096774192,2.9806451612903224,0.0,Summer
1956-08-01,1956,8,83.05612903225806,68.51096774193547,2.490322580645161,0.0,Summer
1956-09-01,1956,9,72.776,59.162000000000006,1.9600000000000002,0.0,Summer
1956-10-01,1956,10,66.12451612903226,52.31677419354838,4.329032258064516,0.0,Fall
1956-11-01,1956,11,54.344,41.906,2.71,0.0,Fall
